key	value	number
female	53 years (2020 est.)	121
region	Liberia	122
total population	64.7 years	122
male	62.5 years	122
female	67 years (2020 est.)	122
region	Libya	123
total population	76.7 years	123
male	74.4 years	123
female	79.1 years (2020 est.)	123
region	Liechtenstein	124
total population	82.2 years	124
male	79.9 years	124
female	85 years (2020 est.)	124
region	Lithuania	125
total population	75.5 years	125
male	70.3 years	125
female	81.1 years (2020 est.)	125
region	Luxembourg	126
total population	82.6 years	126
male	80.1 years	126
female	85.2 years (2020 est.)	126
region	Macau	127
total population	84.6 years	127
male	81.7 years	127
female	87.7 years (2020 est.)	127
region	Madagascar	128
total population	67.3 years	128
male	65.7 years	128
female	68.9 years (2020 est.)	128
region	Malawi	129
total population	63.2 years	129
male	61.2 years	129
female	65.3 years (2020 est.)	129
region	Malaysia	130
total population	75.9 years	130
male	73 years	130
female	78.9 years (2020 est.)	130
region	Maldives	131
total population	76.4 years	131
male	74 years	131
female	78.9 years (2020 est.)	131
region	Mali	132
total population	61.6 years	132
male	59.4 years	132
female	63.9 years (2020 est.)	132
region	Malta	133
total population	82.8 years	133
male	80.7 years	133
female	85 years (2020 est.)	133
region	Marshall Islands	134
total population	74.1 years	134
male	71.8 years	134
female	76.5 years (2020 est.)	134
region	Mauritania	135
total population	64.5 years	135
male	62.1 years	135
female	67 years (2020 est.)	135
region	Mauritius	136
total population	76.5 years	136
male	73 years	136
female	80.1 years (2020 est.)	136
region	Mexico	137
total population	76.7 years	137
male	73.9 years	137
female	79.6 years (2020 est.)	137
region	Micronesia, Federated States of	138
total population	73.9 years	138
male	71.8 years	138
female	76.1 years (2020 est.)	138
region	Moldova	139
total population	71.9 years	139
male	68 years	139
female	76 years (2020 est.)	139
region	Monaco	140
total population	89.3 years	140
male	85.4 years	140
female	93.3 years (2020 est.)	140
region	Mongolia	141
total population	70.8 years	141
male	66.6 years	141
female	75.2 years (2020 est.)	141
region	Montenegro	142
total population	77.3 years	142
male	74.8 years	142
female	79.8 years (2020 est.)	142
region	Montserrat	143
total population	75.3 years	143
male	76.4 years	143
female	74.1 years (2020 est.)	143
region	Morocco	144
total population	73.3 years	144
male	71.6 years	144
female	75.1 years (2020 est.)	144
region	Mozambique	145
total population	55.9 years	145
male	54.4 years	145
female	57.4 years (2020 est.)	145
region	Namibia	146
total population	65.3 years	146
male	63.3 years	146
female	67.3 years (2020 est.)	146
region	Nauru	147
total population	68.4 years	147
male	64.3 years	147
female	71.9 years (2020 est.)	147
region	Nepal	148
total population	71.8 years	148
male	71.1 years	148
female	72.6 years (2020 est.)	148
region	Netherlands	149
total population	81.7 years	149
male	79.5 years	149
female	84.1 years (2020 est.)	149
region	New Caledonia	150
total population	78.4 years	150
male	74.4 years	150
female	82.5 years (2020 est.)	150
region	New Zealand	151
total population	82.1 years	151
male	80.4 years	151
female	84 years (2020 est.)	151
region	Nicaragua	152
total population	74.2 years	152
male	72 years	152
female	76.6 years (2020 est.)	152
region	Niger	153
total population	59.3 years	153
male	57.8 years	153
female	60.8 years (2020 est.)	153
region	Nigeria	154
total population	60.4 years	154
male	58.6 years	154
female	62.3 years (2020 est.)	154
region	Niue	155
total population	NA (2017 est.)	155
male	NA	155
female	NA	155
region	Norfolk Island	156
total population	NA (2017 est.)	156
male	NA	156
female	NA	156
region	North Macedonia	157
total population	76.3 years	157
male	74.2 years	157
female	78.6 years (2020 est.)	157
region	Northern Mariana Islands	158
total population	76.1 years	158
male	74 years	158
female	78.5 years (2020 est.)	158
region	Norway	159
total population	82.1 years	159
male	80 years	159
female	84.4 years (2020 est.)	159
region	Oman	160
total population	76.3 years	160
male	74.4 years	160
female	78.4 years (2020 est.)	160
region	Pakistan	161
total population	69.2 years	161
male	67.2 years	161
female	71.3 years (2020 est.)	161
region	Palau	162
total population	74.1 years	162
male	70.9 years	162
female	77.5 years (2020 est.)	162
region	Panama	163
total population	79.2 years	163
male	76.4 years	163
female	82.2 years (2020 est.)	163
region	Papua New Guinea	164
total population	67.8 years	164
male	65.6 years	164
female	70 years (2020 est.)	164
region	Paraguay	165
total population	77.9 years	165
male	75.2 years	165
female	80.7 years (2020 est.)	165
region	Peru	166
total population	74.7 years	166
male	72.6 years	166
female	76.9 years (2020 est.)	166
region	Philippines	167
total population	70 years	167
male	66.5 years	167
female	73.8 years (2020 est.)	167
region	Pitcairn Islands	168
total population	NA (2017 est.)	168
male	NA	168
female	NA	168
region	Poland	169
total population	78.3 years	169
male	74.5 years	169
female	82.3 years (2020 est.)	169
region	Portugal	170
total population	81.1 years	170
male	77.9 years	170
female	84.4 years (2020 est.)	170
region	Puerto Rico	171
total population	81.3 years	171
male	78 years	171
female	84.7 years (2020 est.)	171
region	Qatar	172
total population	79.4 years	172
male	77.2 years	172
female	81.6 years (2020 est.)	172
region	Romania	173
total population	76 years	173
male	72.6 years	173
female	79.7 years (2020 est.)	173
region	Russia	174
total population	71.9 years	174
male	66.3 years	174
female	77.8 years (2020 est.)	174
region	Rwanda	175
total population	65.1 years	175
male	63.2 years	175
female	67.1 years (2020 est.)	175
region	Saint Barthelemy	176
total population	80.2 years	176
male	77 years	176
female	83.4 years (2020 est.)	176
region	Saint Helena, Ascension, and Tristan da Cunha	177
total population	80 years	177
male	77.1 years	177
female	83.1 years (2020 est.)	177
region	Saint Kitts and Nevis	178
total population	76.6 years	178
male	74.1 years	178
female	79.1 years (2020 est.)	178
region	Saint Lucia	179
total population	78.5 years	179
male	75.7 years	179
female	81.4 years (2020 est.)	179
region	Saint Martin	180
total population	80.2 years	180
male	77 years	180
female	83.4 years (2020 est.)	180
region	Saint Pierre and Miquelon	181
total population	81 years	181
male	78.6 years	181
female	83.5 years (2020 est.)	181
region	Saint Vincent and the Grenadines	182
total population	76.2 years	182
male	74.1 years	182
female	78.3 years (2020 est.)	182
region	Samoa	183
total population	74.7 years	183
male	71.7 years	183
female	77.7 years (2020 est.)	183
region	San Marino	184
total population	83.5 years	184
male	80.9 years	184
female	86.3 years (2020 est.)	184
region	Sao Tome and Principe	185
total population	66.3 years	185
male	64.9 years	185
female	67.8 years (2020 est.)	185
region	Saudi Arabia	186
total population	76.2 years	186
male	74.6 years	186
female	77.8 years (2020 est.)	186
region	Senegal	187
total population	63.2 years	187
male	61.1 years	187
female	65.4 years (2020 est.)	187
region	Serbia	188
total population	76.3 years	188
male	73.4 years	188
female	79.4 years (2020 est.)	188
region	Seychelles	189
total population	75.6 years	189
male	71.1 years	189
female	80.2 years (2020 est.)	189
region	Sierra Leone	190
total population	59.8 years	190
male	57.1 years	190
female	62.6 years (2020 est.)	190
region	Singapore	191
total population	86 years	191
male	83.3 years	191
female	88.9 years (2020 est.)	191
region	Sint Maarten	192
total population	78.8 years	192
male	76.4 years	192
female	81.3 years (2020 est.)	192
region	Slovakia	193
total population	77.8 years	193
male	74.3 years	193
female	81.6 years (2020 est.)	193
region	Slovenia	194
total population	81.4 years	194
male	78.5 years	194
female	84.4 years (2020 est.)	194
region	Solomon Islands	195
total population	76.2 years	195
male	73.5 years	195
female	79 years (2020 est.)	195
region	Somalia	196
total population	54 years	196
male	51.8 years	196
female	56.2 years (2020 est.)	196
region	South Africa	197
total population	64.8 years	197
male	63.4 years	197
female	66.2 years (2020 est.)	197
region	South Sudan	198
total population	55.5 years	198
male	54.6 years	198
female	56.5 years (2020 est.)	198
region	Spain	199
total population	82 years	199
male	79 years	199
female	85.2 years (2020 est.)	199
region	Sri Lanka	200
total population	77.5 years	200
male	74 years	200
female	81.1 years (2020 est.)	200
region	Sudan	201
total population	66.5 years	201
male	64.3 years	201
female	68.8 years (2020 est.)	201
region	Suriname	202
total population	73.3 years	202
male	70.8 years	202
female	75.9 years (2020 est.)	202
region	Svalbard	203
total population	NA (2017 est.)	203
male	NA	203
female	NA	203
region	Sweden	204
total population	82.4 years	204
male	80.4 years	204
female	84.5 years (2020 est.)	204
region	Switzerland	205
total population	82.8 years	205
male	80.5 years	205
female	85.3 years (2020 est.)	205
region	Syria	206
total population	73.7 years	206
male	72.3 years	206
female	75.3 years (2020 est.)	206
region	Taiwan	207
total population	80.6 years	207
male	77.5 years	207
female	83.9 years (2020 est.)	207
region	Tajikistan	208
total population	69 years	208
male	65.9 years	208
female	72.3 years (2020 est.)	208
region	Tanzania	209
total population	63.9 years	209
male	62.3 years	209
female	65.5 years (2020 est.)	209
region	Thailand	210
total population	75.6 years	210
male	72.4 years	210
female	78.9 years (2020 est.)	210
region	Timor-Leste	211
total population	69.3 years	211
male	67.6 years	211
female	71.1 years (2020 est.)	211
region	Togo	212
total population	66.6 years	212
male	63.9 years	212
female	69.3 years (2020 est.)	212
region	Tokelau	213
total population	NA (2017 est.)	213
male	NA	213
female	NA	213
region	Tonga	214
total population	77 years	214
male	75.4 years	214
female	78.8 years (2020 est.)	214
region	Trinidad and Tobago	215
total population	73.9 years	215
male	70.9 years	215
female	76.9 years (2020 est.)	215
region	Tunisia	216
total population	76.3 years	216
male	74.6 years	216
female	78.1 years (2020 est.)	216
region	Turkey	217
total population	75.7 years	217
male	73.3 years	217
female	78.2 years (2020 est.)	217
region	Turkmenistan	218
total population	71.3 years	218
male	68.2 years	218
female	74.5 years (2020 est.)	218
region	Turks and Caicos Islands	219
total population	80.3 years	219
male	77.6 years	219
female	83.3 years (2020 est.)	219
region	Tuvalu	220
total population	67.9 years	220
male	65.6 years	220
female	70.2 years (2020 est.)	220
region	Uganda	221
total population	68.2 years	221
male	66 years	221
female	70.5 years (2020 est.)	221
region	Ukraine	222
total population	72.9 years	222
male	68.2 years	222
female	77.9 years (2020 est.)	222
region	United Arab Emirates	223
total population	79 years	223
male	77.6 years	223
female	80.5 years (2020 est.)	223
region	United Kingdom	224
total population	81.1 years	224
male	78.8 years	224
female	83.5 years (2020 est.)	224
region	United States	225
total population	80.3 years	225
male	78 years	225
female	82.5 years (2020 est.)	225
region	Uruguay	226
total population	77.9 years	226
male	74.8 years	226
female	81.2 years (2020 est.)	226
region	Uzbekistan	227
