Rank	Country	(deaths/1,000 population) 	Date of Information
81	Saint Helena, Ascension, and Tristan da Cunha	8.3	2020 est.
82	Thailand	8.3	2020 est.
83	United States	8.3	2020 est.
84	Burkina Faso	8.2	2020 est.
85	China	8.2	2020 est.
86	Kazakhstan	8.2	2020 est.
87	Tuvalu	8.2	2020 est.
88	Cameroon	8.1	2020 est.
89	Norway	8.1	2020 est.
90	Saint Lucia	8.1	2020 est.
91	Dominica	8	2020 est.
92	Canada	7.9	2020 est.
93	Cote d'Ivoire	7.9	2020 est.
94	Guinea-Bissau	7.9	2020 est.
95	Hong Kong	7.9	2020 est.
96	Jersey	7.9	2020 est.
97	Taiwan	7.9	2020 est.
98	Liechtenstein	7.8	2020 est.
99	Andorra	7.7	2020 est.
100	Western Sahara	7.7	2020 est.
101	Saint Vincent and the Grenadines	7.6	2020 est.
102	Senegal	7.6	2020 est.
103	Guyana	7.5	2020 est.
104	Jamaica	7.5	2020 est.
105	Mauritania	7.5	2020 est.
106	Venezuela	7.5	2020 est.
107	Argentina	7.4	2020 est.
108	Bahamas, The	7.4	2020 est.
109	Haiti	7.4	2020 est.
110	Cambodia	7.3	2020 est.
111	Djibouti	7.3	2020 est.
112	Equatorial Guinea	7.3	2020 est.
113	India	7.3	2020 est.
114	Luxembourg	7.3	2020 est.
115	Mauritius	7.3	2020 est.
116	Namibia	7.3	2020 est.
117	Saint Kitts and Nevis	7.3	2020 est.
118	Burma	7.2	2020 est.
119	Laos	7.2	2020 est.
120	Malawi	7.2	2020 est.
121	Albania	7.1	2020 est.
122	Seychelles	7.1	2020 est.
123	Tanzania	7.1	2020 est.
124	Azerbaijan	7	2020 est.
125	Cyprus	7	2020 est.
126	Kosovo	7	2020 est.
127	Liberia	7	2020 est.
128	Australia	6.9	2020 est.
129	Brazil	6.9	2020 est.
130	Comoros	6.9	2020 est.
131	Eritrea	6.9	2020 est.
132	Kiribati	6.9	2020 est.
133	New Zealand	6.9	2020 est.
134	Ireland	6.8	2020 est.
135	Korea, South	6.8	2020 est.
136	Gambia, The	6.7	2020 est.
137	Papua New Guinea	6.7	2020 est.
138	Ghana	6.6	2020 est.
139	Iceland	6.6	2020 est.
140	Indonesia	6.6	2020 est.
141	Morocco	6.6	2020 est.
142	Chile	6.5	2020 est.
143	Sri Lanka	6.5	2020 est.
144	Sudan	6.5	2020 est.
145	Togo	6.5	2020 est.
146	Tunisia	6.4	2020 est.
147	Bhutan	6.3	2020 est.
148	Bolivia	6.3	2020 est.
149	Dominican Republic	6.3	2020 est.
150	Fiji	6.3	2020 est.
151	Kyrgyzstan	6.3	2020 est.
152	Mongolia	6.3	2020 est.
153	Sao Tome and Principe	6.3	2020 est.
154	Burundi	6.2	2020 est.
